ID	Original Text	Translated Text
599	I apologize. your application has been denied at this time. It seems your record within the Corporation does not meet surveyor requirements. Come back when you’ve worked your way up a bit more. and I’ll be happy to reenter your application. 	我很抱歉.你的申请目前已被拒绝.看来你在公司的记录不符合调查员的要求.等你的工作做得再好一点再回来吧. 我很乐意重新输入你的申请.
600	Apply	应用
601	Are you looking to fill out a Surveyor Application? You’ve come to the right place. Dependable W.D. units can be permitted to work solely on surveying sectors in the galaxy. Headquarters will put a hold on assigning missions to surveyor units via long range comms. If you’re interested in surveillance work. then feel free to apply. I can also help you get your bearings around Headquarters if you have any questions. 	你在寻找填写测量师申请表吗.你来对地方了.可靠的W.D.公司可以被允许只在银河系的测量部门工作.总部将通过远程通信将任务分配给调查员单位.如果你对监视工作感兴趣.那么请随时申请.如果你有任何问题.我也可以帮助你在总部找到方向.
602	Well. I’ll remove your unit from the system then. Headquarters will most likely contact you soon with a new assignment. 	好吧.那我就把你的单位从系统中删除.总部很可能很快就会联系你.给你安排新的任务.
603	End Surveyor Application	终端调查员申请
604	I hope surveillance work is treating you well. Are you looking to end your surveyor status. or do you have other questions?	我希望监视工作对你有好处.你是否想结束你的调查员身份.或者你有其他问题.
605	Hello there. I hope your jobs are going smoothly. What is it you need?	嗨.我希望你们的工作进展顺利.你需要什么.
606	The W.D. Corporation was founded by two weapons engineers named Banks C. Wolden and Rudinius Dorf. Toward the later years of the Old Wars. Wolden and Dorf developed weaponry for the human militia and helped in outfitting warships. producing drones and improving planet renders. They were praised for their contributions. and many people staunchly believed that Wolden's and Dorf's efforts were a large part of the reason the Old Wars were won by humans. Even after the Old Wars ended. Wolden and Dorf continued to push the industry forward with their innovations and eventually formed their own manufacturing company. The Wolden-Dorf Corporation was officially established in 5 UE and quickly prospered due to the reputation its founders had acquired during the Old Wars. Although neither Wolden nor Dorf lived long enough to see the Corporation expand past the capital galaxy. it didn't take long before it became a renowned intergalactic business. Today. we employ more than two billion workers and own the largest private fleet in the entire Union. Wolden-Dorf products have been in circulation for over three thousand years. and they still bear the same guarantee of power. quality and progress that the founders originally promised. The W.D. Corporation dominates the advanced weapons industry and sets the standard for future technologies.	W.D.公司是由两位名叫班克斯-C-沃顿和鲁迪纽斯-多夫的武器工程师创立的.在旧战争的后期.沃顿和多夫为人类民兵开发了武器.并帮助装备战舰.沃顿和多夫为人类民兵开发了武器装备.并帮助装备战舰、生产无人机和改善星球的渲染效果.他们的贡献受到了赞扬.许多人坚定地认为.沃顿和多夫的努力是旧战争被人类赢得的很大一部分原因.即使在旧战争结束后.沃顿和多夫继续用他们的创新推动行业的发展.并最终成立了他们自己的制造公司.沃顿、多夫公司于5 UE正式成立.由于其创始人在旧战争期间获得的声誉.很快就繁荣起来.虽然沃顿、多夫都没有活够.没有看到公司扩展到首都星系以外的地方.但没过多久.它就成为了一个著名的星系企业.今天.我们雇佣了超过20亿的工人.拥有整个联盟最大的私人舰队.沃顿和多夫的产品已经在市场上流通了三千多年.它们仍然具有创始人最初承诺的力量、质量和进步的保证.W.D.公司主导着先进的武器工业.并为未来的技术制定了标准.
607	History of W.D.	W.D.的历史
608	The Corporation took a massive blow when the intergalactic warp network was cut. With no connection to the capital galaxy. resources are being stretched thin. and there have been a number of deserters after the whole ^transmission^ incident. But I've been with the Corporation long enough to know that any internal strife won't last. W.D. has a way of eliminating opposition. and it'll regain control of the situation in due time. I don't doubt it one bit. There's very little in this universe that could collapse the W.D. Corporation. It's just terribly efficient.	当星系间的星门网络被切断时.公司受到了巨大的打击.由于没有与首都星系的联系.资源被压缩的很厉害.在整个^传输^事件之后.有很多人逃走了.但我在公司工作了很久.知道任何内部纷争都不会持久.W.D.有办法消灭反对派. 它将在适当的时候重新控制局面.我一点也不怀疑这一点.在这个宇宙中.很少有东西能让W.D.公司垮掉.
609	State of W.D.	W.D.的状态
610	You want to know more about W.D. Headquarters? For starters. you’re standing in it. Officially. this place is called Station #231. but I like to think of it as our ‘home base’. Any transmissions you receive from Wolden-Dorf HQ will most likely originate from here. Station #231 was originally set up in 3159 UE as an intelligence center for W.D. personnel. but it wasn’t until about fifteen years ago that it was fully established. Sullivan Vorcolp took up the position as Chief Supervisor of the station. and ever since then. W.D. activity has been booming in this galaxy. 	你想知道更多关于W.D.总部的信息吗.对于初学者来说.你正站在其中.正式来说.这个地方被称为231号站.但我喜欢把它当作我们的 "大本营".你从沃顿、多夫总部收到的任何传输都很可能来自这里.231号站最初是在3159 UE建立的.作为W.D.人员的情报中心.但直到大约15年前.它才完全建立.苏利文-沃科普担任了该站的首席监督员.W.D.的活动一直在这个星系中蓬勃发展.
611	Sullivan Vorcolp is the Chief Supervisor of our galaxy's W.D. Headquarters. He has an impeccable record within the Corporation. and nearly every project he's worked on has been an overwhelming success. Vorcolp is an incredibly skilled engineer and businessman. and the technologies produced from his oversight are often tremendously lucrative. if not revolutionary. For several years. he worked at the main branch of the W.D. Corporation and was expected to rise to the highest ranks of personnel. No one knows why he left. but he apparently requested to take over Station #231. our W.D. Headquarters. way out in this fringe galaxy. Regardless. he's vastly improving W.D. operations here. Even with the recent galactic conflicts. he has managed to keep things running smoothly. Vorcolp expects a lot from his workers. so don't slack off. Remember. he's the ultimate person to impress around here.	苏利文-沃科普是我们星系W.D.总部的首席主管.他在公司内部有着无可挑剔的记录.几乎所有他参与的项目都获得了巨大的成功.沃尔科普是一个非常熟练的工程师和商人.在他的监督下产生的技术即使不是革命性的.也往往是非常有利可图的.几年来.他在W.D.公司的主要分支机构工作.并被期望升至最高的人事级别.没有人知道他为什么离开.但他显然要求接管231号站.即我们的W.D.总部.就在这个边缘星系的远处.不管怎么说.他极大地改善了W. D. 的运作.即使在最近的银河系冲突中.他也设法保持了事情的顺利进行.沃尔科普对他的工人期望很高.所以不要懈怠.记住.他是这里最需要打动的人.
612	Sullivan Vorcolp	苏利文-沃科普
613	Shardes is Vice Supervisor of the galaxy's W.D. Headquarters and works directly under Chief Supervisor Vorcolp. Together they oversee the entirety of our branch's operations. and all major decisions will undoubtedly go through them. Shardes is a ferocious businessman and loyal to Vorcolp. Always be on your best behavior around him. He has a sharp eye and never fails to inform Vorcolp of anything he discovers that is not up to standards. Believe me. you do not want to be caught doing something that displeases him.	沙尔德是银河系W.D.总部的副主管.直接在首席主管沃科普手下工作.他们一起监督我们分部的全部运作.所有的重大决定无疑都要经过他们.沙尔德是个凶残的商人.对沃科普很忠诚.在他身边要始终保持最佳状态.他有一双敏锐的眼睛.发现任何不符合标准的东西.他都会通知沃科普.相信我.你不会想被抓到做让他不高兴的事情.
614	Oskal Shardes	奥斯卡 沙尔德
615	Bakul Faros is one of the oldest personnel at our branch of W.D. He has been positioned in several different galaxies and overseen more projects than nearly anyone here. including supervisors like Vorcolp and Ultarin. Despite working for W.D. over so many years. Faros still seems to have retained a healthy amount of idealism -- which is uncommon among the higher-ups. He's getting older though. and I've heard that he's considering retirement in the near future.	巴库尔-法罗斯是我们W.D.分部最老的人员之一.他被安排在几个不同的星系.监督的项目几乎比这里的任何人都多.包括像沃科普和奥杰恩这样的主管.尽管为W.D.工作了这么多年.法罗斯似乎仍然保留着健康的理想主义--这在高层中是不常见的.不过他年纪越来越大了.我听说他正在考虑在不久的将来退休.
616	Bakul Faros	巴库尔-法罗斯
617	Ultarin is an intense woman. but she's excellent at what she does. She's a strategist above all else. and her ability to read the market is unparalleled. Before the Corporation snatched her up. more than a dozen companies were scrambling to hire her. But Ultarin can be difficult to work with. Of all the personnel who have been assigned to work for her directly. very few have lasted long without requesting transfers or quitting altogether. Those who have. however. seem to gain invaluable experience and move on to higher positions themselves. Even though it might be difficult. if you're ever given a chance to work with Ultarin. it might be wise to take the opportunity.	奥杰恩是一个紧张的女人.但她在她的工作中非常出色.她是一个高于一切的战略家.她阅读市场的能力是无与伦比的.在公司把她抢走之前.有十几家公司争相雇用她.但是.奥杰恩可能很难与之合作.在所有被指派直接为她工作的人员中.很少有人能坚持很长时间而不要求调动或辞职.然而.那些人似乎获得了宝贵的经验.并自己升到了更高的职位.如果你有机会和奥杰恩一起工作.抓住这个机会可能是明智的选择.尽管这可能很困难.
618	Enid Ultarin	伊妮德 奥杰恩
619	Occasionally over your years working for W.D.. you’ll run into men like Drahvix.  It’s unavoidable. The Corporation tends to hire men like him. He’s agonizingly strict and by-the-book. relentless. and unshakably loyal to the Corporation. In fact. his job is nearly a religion to him—and he expects his subordinates to act the same. But even then he won’t treat you kindly. There’s just no warming up to him. 	在你为W.D.工作的这些年里.你偶尔会遇到像德拉维克斯这样的人. 这是不可避免的.公司倾向于雇用像他这样的人.他非常严格.按部就班.毫不留情.而且对公司的忠诚度毫不动摇.事实上.他的工作对他来说几乎是一种宗教.他希望他的下属也能这样做.但即使如此.他也不会善待你.对他来说.没有什么好感可言.
620	Haush Drahvix	哈什 德拉维克斯
621	Now. that’s a strange case. Roalwin Mocath used to be one of the most influential people at this branch. apart from Vorcolp and Shardes themselves. However. several months ago he vanished. Never reported back to headquarters. and HQ wasn’t able to track down his ship. Wherever he is. no one seems to know. Any other details are above my pay grade. 	现在.这是个奇怪的情况.罗尔文-莫卡思曾经是这个分部最有影响力的人之一.除了沃尔科普和沙尔德本人之外.然而.几个月前他消失了.从来没有向总部汇报过.总部也没能追踪到他的飞船.不管他在哪里.似乎没有人知道.任何其他细节都超出了我的能力水平.
622	Roalwin Mocath	罗尔文-莫卡思
623	Wulfrom Kas is not one of the main supervisors here at Headquarters. but he is something of a legend. He's a unit captain just like any other. but he was the first to run a ship with an entirely Sylvassi crew. It's well known that the W.D. Corporation uses Sylvassi laborers for certain parts of the manufacturing process. but Wulfrom Kas led the way to remove W.D. restrictions and allow Sylvassi as legitimate employees. He has studied their language and culture extensively. and even outside of the Corporation. Kas has become a highly respected figure in Sylvassi study and relations. Lately. he has been very vocal about Sylvassi rights. which has stirred up debates all over the Colonial Union. even in the capital galaxy. Some of the W.D. higher-ups have threatened him for taking a stance against the Corporation's labor world policies. but Kas refuses to back down. It takes some nerve to stand up to the W.D. Corporation like that. I admire the guy.	沃夫罗姆-卡斯不是总部这里的主要主管之一.但他是一位传奇人物.他也是一位普通队长.他是第一个完全用西尔瓦西人理念来管理一艘船的人.众所周知.W.D.公司在制造过程的某些部分使用西尔瓦西族劳工.但沃夫罗姆-卡斯带头取消了W.D.的限制.允许西尔瓦西族作为合法雇员.他对他们的语言和文化进行了广泛的研究.甚至是在公司之外.卡斯已经成为西尔瓦西研究和关系中一个备受尊敬的人物.最近.他对西尔瓦西的权利非常有发言权.这在整个殖民联盟引起了争论.甚至在首都星系.一些W.D.的高层威胁他.因为他对公司的劳工世界政策采取了反对立场.像这样站在W.D.公司面前.需要一些勇气.我很佩服这家伙.
624	Wulfrom Kas	沃夫罗姆-卡斯
625	Which one?	哪一个.
626	More Supervisors	更多 监管人员
627	There are six main supervisors at W.D. Headquarters -- Chief Supervisor Sullivan Vorcolp. Vice Supervisor Oskal Shardes. Bakul Faros. Enid Ultarin. Haush Drahvix. and Roalwin Mocath. Each supervisor oversees a particular segment of W.D.'s development. manufacturing. or transport processes. If you want any tips about who to cozy up to and who to avoid like the Glonglorangian plague. I'd be happy to let you know. Just don't tell anyone you heard it from me. It could get me fired. Or worse.	.D.总部有六个主要主管 -- 首席主管苏利文-沃科普.副监事长奥斯卡-沙尔德斯.巴库尔-法洛斯.Enid Ultarin. 豪什-德拉维克斯（Haush Drahvix）和罗尔文-莫卡斯（Roalwin Mocath）.每位主管负责监督W.D.的开发、制造或运输过程中的一个特定部分.如果你想知道关于谁应该亲近谁,谁应该像格洛朗基瘟疫一样不喜欢别人的提醒,我很乐意让你知道.只是不要告诉任何人你是从我这里听到的.这可能会让我被解雇.或者更糟.
628	Supervisors	监管人员
629	Although we’re not the first sentient species to come to this galaxy. much of it has been relatively untouched. It’s ripe with untapped resources. strange planets. discoveries waiting to be made. Within the last century. more people than ever have become interested in the prospects of this galaxy—including the W.D. Corporation. The Corporation sees much opportunity here. particularly in harvesting raw materials and expanding the scope of business. After all. in uncharted areas advanced weaponry tends to be in higher demand. 	虽然我们不是第一个来到这个星系的有知觉的物种,但它的大部分地方相对来说还没有被触及.它有很多未开发的资源、奇怪的星球和有待发现的东西.在上个世纪,越来越多的人对这个星系的前景感兴趣,包括W.D.公司.公司在这里看到了很多机会,特别是在收获原材料和扩大业务范围方面.毕竟,在未知的地区,先进的武器装备往往需求量更大.
630	Prospects	赛事前瞻
631	A few decades ago. Outpost 448 was just a supply station for anyone who decided to travel the fringes. Since the outpost grew quite a bit within the past ten years. the Colonial Union declared it the central port for this galaxy. The Outpost 448 Command Center oversees most galactic activities and makes sure pioneers don't forget that rules still exist out here. On a slightly different topic. not long ago I received word that an entire wing of Outpost 448 was blasted off the rest of the station. I don't know much about what happened. but I heard a rumor that it was due to some kind of quarantine protocol. Regardless. the Command Center seems to be doing a good job of hiding whatever happened in that wing.	几十年前。448号前哨站只是一个补给站，为那些在中立地区旅行的人使用。由于前哨站在过去的十年里有了很大的发展，殖民联盟宣布它为这个星系的中心港口。448号前哨站指挥中心负责监督大多数银河系的活动，并确保先驱者不会忘记这里的规则仍然存在。另一个话题，不久前我收到消息，448号前哨站的整个侧翼都被炸掉了，与该站的其他部分分离。我不太了解发生了什么。但我听到一个传言，说是由于某种隔离协议。不管怎么说，指挥中心似乎很好地掩盖了在那一翼发生的事情。
632	If you ever need to resupply. the Harbor is an excellent stop. It’s a planetary station that was established in 3188 UE and does a lot of business with the W.D. Corporation. Colonial Union and civilian transport crews. They have good brew and a decent stock of supplies. Vice Supervisor Shardes is particularly supportive of the station due to its harsh anti-Gentlemen policies. Unfortunately. the folks at the Harbor don’t own a starship repair bay. but I imagine they’ll expand their services in the next decade or so. 	如果你需要补给，港口是一个很好的地方。这是一个建立于3188 UE的行星站，与W.D.公司有很多业务往来。殖民联盟和民用运输队。他们有很好的啤酒和不错的物资储备。由于该站实行严厉的反盖亚政策，副主管沙尔德斯对其特别支持。不幸的是，港湾的人并不拥有舰船维修厂。但我想象他们会在未来十年左右扩大他们的服务。
633	Cornelia Station is a seedy base out in neutral territory. It's mainly inhabited by ruffians. Gentlemen and Fluffy Biscuit haters. The W.D. supervisors don't recommend that you visit the station. However. I've spoken to quite a few crews who say it's a convenient place to resupply.	Cornelia Station is a seedy base out in neutral territory. It's mainly inhabited by ruffians. Gentlemen and Fluffy Biscuit haters. The W.D. supervisors don't recommend that you visit the station. However. I've spoken to quite a few crews who say it's a convenient place to resupply.
634	All right. listen close. I shouldn’t be talking about this sort of thing. It’s one of those subjects that could get me fired or thrown out an airlock if I say too much. you know? The W.D. Corporation lost a flagship. It was still being built when someone sabotaged the security systems and took off with the ship itself. Ripped it right from the construction bay. There have been rumors that it’s now being used by the Alliance of Gentlemen. and they call it ‘the Estate’. If you ask any of the supervisors here. they’ll tell you W.D. destroyed the flagship before it left the sector. But there have been occasional sightings of a massive ship. very similar to the W.D. flagship’s design. roaming the galaxies with the Alliance of Gentlemen’s mark painted on its hull. Me? I’m inclined to believe the Gentlemen got away with it. Just don’t tell anyone I said so. 	All right. listen close. I shouldn’t be talking about this sort of thing. It’s one of those subjects that could get me fired or thrown out an airlock if I say too much. you know? The W.D. Corporation lost a flagship. It was still being built when someone sabotaged the security systems and took off with the ship itself. Ripped it right from the construction bay. There have been rumors that it’s now being used by the Alliance of Gentlemen. and they call it ‘the Estate’. If you ask any of the supervisors here. they’ll tell you W.D. destroyed the flagship before it left the sector. But there have been occasional sightings of a massive ship. very similar to the W.D. flagship’s design. roaming the galaxies with the Alliance of Gentlemen’s mark painted on its hull. Me? I’m inclined to believe the Gentlemen got away with it. Just don’t tell anyone I said so. 
635	There are several major hubs in the galaxy. Which would you like to know more about?	There are several major hubs in the galaxy. Which would you like to know more about?
636	Hubs	Hubs
637	One of the biggest threats the fringe galaxies are facing is the Infected. They’re a group of persistent creatures that spreads rapidly throughout a galaxy to the point it becomes completely overrun by them. It’s extremely dangerous to fly into Infected space. and a near guarantee that you won’t make it out alive. Three known galaxies have already fallen to the Infected. and several more—including our own galaxy—have been reported to contain Infected sectors. Some people think that the intergalactic warp network was cut in order to quarantine us. and the Colonial Union is desperate to prevent the spread of the Infected to other galaxies. I can’t say for sure if that was the reason. but it’s an unsettling enough thought. Regardless. W.D. Headquarters and the Outpost 448 Command Center will do whatever they can to keep the situation from getting out of control. As best they can. at least. 	One of the biggest threats the fringe galaxies are facing is the Infected. They’re a group of persistent creatures that spreads rapidly throughout a galaxy to the point it becomes completely overrun by them. It’s extremely dangerous to fly into Infected space. and a near guarantee that you won’t make it out alive. Three known galaxies have already fallen to the Infected. and several more—including our own galaxy—have been reported to contain Infected sectors. Some people think that the intergalactic warp network was cut in order to quarantine us. and the Colonial Union is desperate to prevent the spread of the Infected to other galaxies. I can’t say for sure if that was the reason. but it’s an unsettling enough thought. Regardless. W.D. Headquarters and the Outpost 448 Command Center will do whatever they can to keep the situation from getting out of control. As best they can. at least. 
638	This galaxy lies on the fringes of charted space. There has been little development here compared to the capital and other densely populated galaxies. and we've only just scratched the surface of its potential. Be that as it may. we aren't the first sentient species to have come here. Several civilizations have come and gone. and even humans once traversed this galaxy to hunt down a Sylvassi home world. Still. it was quite some time before humans and Sylvassi returned to the galaxy. and even longer before the Colonial Union set up a center of government out here. But it seems word spread about this place. and now it's suddenly full of pioneers looking for fame and profitable opportunities. And W.D. is no exception.	This galaxy lies on the fringes of charted space. There has been little development here compared to the capital and other densely populated galaxies. and we've only just scratched the surface of its potential. Be that as it may. we aren't the first sentient species to have come here. Several civilizations have come and gone. and even humans once traversed this galaxy to hunt down a Sylvassi home world. Still. it was quite some time before humans and Sylvassi returned to the galaxy. and even longer before the Colonial Union set up a center of government out here. But it seems word spread about this place. and now it's suddenly full of pioneers looking for fame and profitable opportunities. And W.D. is no exception.
639	Galaxy	Galaxy
640	As I’m sure you know. the Colonial Union is the intergalactic system of government. It enforces laws. manages relations between different species. and oversees the settlement of planets and other galactic colonies. Despite all the good it does. the Colonial Union can be a major hindrance for a business like W.D. Corp. The Union sets stringent rules for intergalactic businesses. ranging from regular inspections of transport rigs to massive restrictions on the development of certain technologies. In response to such limitations. W.D. higher-ups have been known to make some very unsavory decisions to run the Corporation the way they see fit. and they’ve just narrowly avoided being prosecuted by Union law enforcement. The Colonial Union operates with good intentions. but it tends to delay progress within the Corporation. And with W.D.’s motto being ‘Progress Above All’. you can understand why the Corporation is at odds with the Union.  A lot of tension is brewing between them—even within our own galaxy. Some people suspect that if conflicts keep arising between the two factions. a large-scale war could break out. As both citizens of the Union and employees of the Corporation. I’m sure we’d all prefer to avoid choosing sides. But for now. the best we can do is stay out of trouble and try to keep things from getting worse. 	As I’m sure you know. the Colonial Union is the intergalactic system of government. It enforces laws. manages relations between different species. and oversees the settlement of planets and other galactic colonies. Despite all the good it does. the Colonial Union can be a major hindrance for a business like W.D. Corp. The Union sets stringent rules for intergalactic businesses. ranging from regular inspections of transport rigs to massive restrictions on the development of certain technologies. In response to such limitations. W.D. higher-ups have been known to make some very unsavory decisions to run the Corporation the way they see fit. and they’ve just narrowly avoided being prosecuted by Union law enforcement. The Colonial Union operates with good intentions. but it tends to delay progress within the Corporation. And with W.D.’s motto being ‘Progress Above All’. you can understand why the Corporation is at odds with the Union.  A lot of tension is brewing between them—even within our own galaxy. Some people suspect that if conflicts keep arising between the two factions. a large-scale war could break out. As both citizens of the Union and employees of the Corporation. I’m sure we’d all prefer to avoid choosing sides. But for now. the best we can do is stay out of trouble and try to keep things from getting worse. 
641	Scoundrels. the bunch of them are. The Alliance of Gentlemen is a faction comprised entirely of raiders. hijackers. and criminals of the worst sort. They often attempt to steal W.D. technology. which puts our transport convoys at great risk in neutral sectors. Many of them disguise their ships as civilian vessels. so it can be difficult to determine whether you're encountering a regular cargo ship or falling into a Gentleman's trap. With all the damages W.D. has amassed due to the Alliance. Vice Supervisor Shardes and Haush Drahvix have been assembling an entire force dedicated to weeding out Gentlemen threats around the boundaries of the W.D. zone. If you run into any Gentlemen out there. watch yourself. They can be tricky bastards.	Scoundrels. the bunch of them are. The Alliance of Gentlemen is a faction comprised entirely of raiders. hijackers. and criminals of the worst sort. They often attempt to steal W.D. technology. which puts our transport convoys at great risk in neutral sectors. Many of them disguise their ships as civilian vessels. so it can be difficult to determine whether you're encountering a regular cargo ship or falling into a Gentleman's trap. With all the damages W.D. has amassed due to the Alliance. Vice Supervisor Shardes and Haush Drahvix have been assembling an entire force dedicated to weeding out Gentlemen threats around the boundaries of the W.D. zone. If you run into any Gentlemen out there. watch yourself. They can be tricky bastards.
642	The Fluffy Biscuit Company started its business only a little over a century ago. yet their biscuits have become an intergalactic craze. Even consultants within the W.D. Corporation are astonished at the rate Fluffy Biscuit has grown. Despite our galaxy being on the fringes. Fluffy Biscuit came here a few years ago to start up deliveries. And I'm glad they did. This galaxy needed more biscuits.	The Fluffy Biscuit Company started its business only a little over a century ago. yet their biscuits have become an intergalactic craze. Even consultants within the W.D. Corporation are astonished at the rate Fluffy Biscuit has grown. Despite our galaxy being on the fringes. Fluffy Biscuit came here a few years ago to start up deliveries. And I'm glad they did. This galaxy needed more biscuits.
643	In all honesty. I don’t know much about the Polytechnic Federation. Whoever they are. they’ve done a good job at keeping themselves a mystery for a long time now. But I do know that Chief Supervisor Vorcolp and Vice Supervisor Shardes have a particular interest in Federation technology. Other than that. I can’t tell you much. 	In all honesty. I don’t know much about the Polytechnic Federation. Whoever they are. they’ve done a good job at keeping themselves a mystery for a long time now. But I do know that Chief Supervisor Vorcolp and Vice Supervisor Shardes have a particular interest in Federation technology. Other than that. I can’t tell you much. 
644	There are several main factions that you may encounter when travelling across the galaxy. If you’d like. I can tell you more about them. 	There are several main factions that you may encounter when travelling across the galaxy. If you’d like. I can tell you more about them. 
645	How can I help you?	How can I help you?
646	It seems security has gotten lax. Leave W.D. Headquarters at once. or I'll have you forcibly removed.	It seems security has gotten lax. Leave W.D. Headquarters at once. or I'll have you forcibly removed.
647	I wasn't fully briefed on your recent mission. but based on what I heard from my colleagues. it seems you did an excellent job. Good work.	I wasn't fully briefed on your recent mission. but based on what I heard from my colleagues. it seems you did an excellent job. Good work.
648	I heard you were unwilling to do the job Vorcolp had in mind for you. That's poor decision making on your part. Disappointing the Chief Supervisor is a surefire way to destroy your career in the W.D. Corporation.	I heard you were unwilling to do the job Vorcolp had in mind for you. That's poor decision making on your part. Disappointing the Chief Supervisor is a surefire way to destroy your career in the W.D. Corporation.
649	Your work has been respectable. Keep it up. 	Your work has been respectable. Keep it up. 
650	Tend to your assignments. I have my own work to do. 	Tend to your assignments. I have my own work to do. 
651	Don’t waste any time. We have a business to run. 	Don’t waste any time. We have a business to run. 
652	Return when you’re more prepared. I won’t have you wasting my time. 	Return when you’re more prepared. I won’t have you wasting my time. 
653	The Corporation needs a crew to deliver a crate of rations to a weapon production plant. From what I understand. the facility has also encountered issues with the native lifeforms as of late. The creatures have been burrowing into the ground and damaging the pipes. so they will need to be eliminated immediately to prevent any further interference. I advise you to locate them with a scanner as they tend to hide beneath the surface. When you have cleared a space in your cargo hold. return to me to receive the supplies you will be delivering.	The Corporation needs a crew to deliver a crate of rations to a weapon production plant. From what I understand. the facility has also encountered issues with the native lifeforms as of late. The creatures have been burrowing into the ground and damaging the pipes. so they will need to be eliminated immediately to prevent any further interference. I advise you to locate them with a scanner as they tend to hide beneath the surface. When you have cleared a space in your cargo hold. return to me to receive the supplies you will be delivering.
654	Whoever you are. I don’t have time to deal with you. Leave. or I’ll have a security bot remove you by force. 	Whoever you are. I don’t have time to deal with you. Leave. or I’ll have a security bot remove you by force. 
655	Headquarters has been abuzz with talk of some classified assignment the Chief Supervisor gave you. I'm not sure what you did. but the higher-ups seem to be praising you for it.	Headquarters has been abuzz with talk of some classified assignment the Chief Supervisor gave you. I'm not sure what you did. but the higher-ups seem to be praising you for it.
656	If our attention strays. Ultarin will have our necks. If you need something. I’d be happy to help you—later. 	If our attention strays. Ultarin will have our necks. If you need something. I’d be happy to help you—later. 
657	Ultarin seems impressed with your work. That doesn't happen often. You must have done something remarkable.	Ultarin seems impressed with your work. That doesn't happen often. You must have done something remarkable.
658	I really can’t spare the time right now. If you’ll excuse me… 	I really can’t spare the time right now. If you’ll excuse me… 
659	I'm not sure why you're here. W.D. is not very welcoming to anyone who isn't employed by the Corporation or investing in it.	I'm not sure why you're here. W.D. is not very welcoming to anyone who isn't employed by the Corporation or investing in it.
660	Your crew has developed quite a reputation here at W.D. Headquarters. Even the supervisors are talking favorably about you. Good luck with whatever difficult tasks they'll have you doing now.	Your crew has developed quite a reputation here at W.D. Headquarters. Even the supervisors are talking favorably about you. Good luck with whatever difficult tasks they'll have you doing now.
661	The higher-ups won’t admit it aloud. but our branch of W.D. has been suffering ever since the intergalactic warp was shut down. We can’t receive resources from the main galaxy. Things aren’t looking good around here. 	The higher-ups won’t admit it aloud. but our branch of W.D. has been suffering ever since the intergalactic warp was shut down. We can’t receive resources from the main galaxy. Things aren’t looking good around here. 
662	Be careful when you’re out on a job. Seems like everything in the galaxy is out to ruin us these days. 	Be careful when you’re out on a job. Seems like everything in the galaxy is out to ruin us these days. 
663	What are you doing here? You aren't a W.D. employee. Get out of this station.	What are you doing here? You aren't a W.D. employee. Get out of this station.
664	Even if you have garnered Vorcolp's favor. don't expect any special treatment from me. Get back to work.	Even if you have garnered Vorcolp's favor. don't expect any special treatment from me. Get back to work.
665	I’ll take the samples from you. Be on your way.	I’ll take the samples from you. Be on your way.
666	Give Samples	Give Samples
667	I don’t want to see you until you have those samples. Understand?	I don’t want to see you until you have those samples. Understand?
668	Back from your last assignment. are you? It’s about time. You have another job. You need to retrieve three samples of a research material called ‘IU-03020’. It should look like a blue crystal. Samples of IU-03020 are difficult to find. but the Corporation needs them for the development of a project. From what I understand. they can be formed in subterranean systems. Find those samples and bring them back with haste.	Back from your last assignment. are you? It’s about time. You have another job. You need to retrieve three samples of a research material called ‘IU-03020’. It should look like a blue crystal. Samples of IU-03020 are difficult to find. but the Corporation needs them for the development of a project. From what I understand. they can be formed in subterranean systems. Find those samples and bring them back with haste.
669	I have transferred the weapon parts to your ship. Transport them quickly. The client is named Albina Burton. and she can be found in the main cargo hold at Cornelia Station. 	I have transferred the weapon parts to your ship. Transport them quickly. The client is named Albina Burton. and she can be found in the main cargo hold at Cornelia Station. 
670	I expect to see you back here when your cargo hold has been prepared. 	I expect to see you back here when your cargo hold has been prepared. 
671	You. get over here. The Corporation requires your assistance. Deliver a shipment of weapon parts to a client at Cornelia Station. This assignment is not a substitute for your other duties. and you are still required to complete any jobs you have been or will be assigned. Clear out a space in your cargo hold and return to me when you are ready to accept the shipment. 	You. get over here. The Corporation requires your assistance. Deliver a shipment of weapon parts to a client at Cornelia Station. This assignment is not a substitute for your other duties. and you are still required to complete any jobs you have been or will be assigned. Clear out a space in your cargo hold and return to me when you are ready to accept the shipment. 
672	Do not delay. Deliver the shipment of weapon parts. or I will report you for insubordination. 	Do not delay. Deliver the shipment of weapon parts. or I will report you for insubordination. 
673	What are you doing. loitering around? The Corporation absolutely will not tolerate ineffective personnel. Are you listening to me? GET BACK TO WORK. 	What are you doing. loitering around? The Corporation absolutely will not tolerate ineffective personnel. Are you listening to me? GET BACK TO WORK. 
674	Drahvix has us overworked and underpaid. It’s never a pretty job when you’re assigned under him. But at least we’re not Sylvassi laborers. It could always be worse. right? 	Drahvix has us overworked and underpaid. It’s never a pretty job when you’re assigned under him. But at least we’re not Sylvassi laborers. It could always be worse. right? 
675	It’s a pain working for Drahvix. But what can you do? A man’s gotta make a living. 	It’s a pain working for Drahvix. But what can you do? A man’s gotta make a living. 
